size,amount,matchSize,plugins,usefulMatches,totalMatches
9,1,1,nFish,28,100
9,2,4,hiddenPairs|nFish,1957,5008
9,2,7,hiddenPairs|nFish,220,403
9,2,1,hiddenPairs|nFish,27889,49410
9,2,6,hiddenPairs|nFish,496,925
9,2,3,hiddenPairs|nFish,4470,13261
9,2,2,hiddenPairs|nFish,11007,47268
9,2,5,hiddenPairs|nFish,1021,2196
9,2,8,hiddenPairs|nFish,23,55
9,2,1,nFish|nakedPairs,28,94
9,2,1,nFish|pointingArrows,12227,183935
9,2,3,nFish|pointingArrows,1802,11227
9,2,2,nFish|pointingArrows,5980,47667
9,2,4,nFish|pointingArrows,1246,5088
9,2,6,nFish|pointingArrows,424,1367
9,2,5,nFish|pointingArrows,660,2209
9,2,7,nFish|pointingArrows,287,797
9,2,8,nFish|pointingArrows,31,107
9,2,4,nFish|removeByElements,1712,11095
9,2,7,nFish|removeByElements,8,1203
9,2,1,nFish|removeByElements,22064,115097
9,2,6,nFish|removeByElements,127,2788
9,2,3,nFish|removeByElements,3562,20945
9,2,5,nFish|removeByElements,758,6014
9,2,2,nFish|removeByElements,7692,51235
9,2,8,nFish|removeByElements,0,227
9,3,4,hiddenPairs|nFish|nakedPairs,1780,4251
9,3,7,hiddenPairs|nFish|nakedPairs,218,368
9,3,1,hiddenPairs|nFish|nakedPairs,22662,40552
9,3,6,hiddenPairs|nFish|nakedPairs,482,851
9,3,3,hiddenPairs|nFish|nakedPairs,3887,10887
9,3,2,hiddenPairs|nFish|nakedPairs,9305,37710
9,3,5,hiddenPairs|nFish|nakedPairs,962,1895
9,3,8,hiddenPairs|nFish|nakedPairs,23,52
9,3,4,hiddenPairs|nFish|pointingArrows,1586,3530
9,3,7,hiddenPairs|nFish|pointingArrows,216,349
9,3,1,hiddenPairs|nFish|pointingArrows,20777,37687
9,3,6,hiddenPairs|nFish|pointingArrows,465,771
9,3,3,hiddenPairs|nFish|pointingArrows,3420,9026
9,3,5,hiddenPairs|nFish|pointingArrows,870,1616
9,3,2,hiddenPairs|nFish|pointingArrows,8349,31300
9,3,8,hiddenPairs|nFish|pointingArrows,23,52
9,3,4,hiddenPairs|nFish|removeByElements,1659,3730
9,3,7,hiddenPairs|nFish|removeByElements,219,354
9,3,1,hiddenPairs|nFish|removeByElements,20984,37909
9,3,6,hiddenPairs|nFish|removeByElements,472,796
9,3,3,hiddenPairs|nFish|removeByElements,3569,9465
9,3,2,hiddenPairs|nFish|removeByElements,8534,32345
9,3,5,hiddenPairs|nFish|removeByElements,901,1730
9,3,8,hiddenPairs|nFish|removeByElements,23,53
9,3,1,nFish|nakedPairs|pointingArrows,14328,88695
9,3,3,nFish|nakedPairs|pointingArrows,1966,7007
9,3,2,nFish|nakedPairs|pointingArrows,6796,31518
9,3,4,nFish|nakedPairs|pointingArrows,1070,2644
9,3,6,nFish|nakedPairs|pointingArrows,298,505
9,3,5,nFish|nakedPairs|pointingArrows,518,1015
9,3,7,nFish|nakedPairs|pointingArrows,174,247
9,3,8,nFish|nakedPairs|pointingArrows,25,45
9,3,4,nFish|nakedPairs|removeByElements,1470,5916
9,3,7,nFish|nakedPairs|removeByElements,3,641
9,3,1,nFish|nakedPairs|removeByElements,21854,57462
9,3,6,nFish|nakedPairs|removeByElements,80,1374
9,3,3,nFish|nakedPairs|removeByElements,3338,13163
9,3,5,nFish|nakedPairs|removeByElements,607,2910
9,3,2,nFish|nakedPairs|removeByElements,7882,39024
9,3,8,nFish|nakedPairs|removeByElements,0,115
9,3,4,nFish|pointingArrows|removeByElements,1116,7442
9,3,7,nFish|pointingArrows|removeByElements,11,854
9,3,1,nFish|pointingArrows|removeByElements,15069,81825
9,3,6,nFish|pointingArrows|removeByElements,88,1902
9,3,3,nFish|pointingArrows|removeByElements,2436,15009
9,3,5,nFish|pointingArrows|removeByElements,480,4048
9,3,2,nFish|pointingArrows|removeByElements,5166,36085
9,3,8,nFish|pointingArrows|removeByElements,0,168
9,4,4,hiddenPairs|nFish|nakedPairs|pointingArrows,1480,3125
9,4,7,hiddenPairs|nFish|nakedPairs|pointingArrows,215,335
9,4,1,hiddenPairs|nFish|nakedPairs|pointingArrows,17821,33596
9,4,6,hiddenPairs|nFish|nakedPairs|pointingArrows,457,737
9,4,3,hiddenPairs|nFish|nakedPairs|pointingArrows,2979,7513
9,4,2,hiddenPairs|nFish|nakedPairs|pointingArrows,7072,25051
9,4,5,hiddenPairs|nFish|nakedPairs|pointingArrows,827,1473
9,4,8,hiddenPairs|nFish|nakedPairs|pointingArrows,23,51
9,4,4,hiddenPairs|nFish|nakedPairs|removeByElements,1515,3274
9,4,7,hiddenPairs|nFish|nakedPairs|removeByElements,216,338
9,4,1,hiddenPairs|nFish|nakedPairs|removeByElements,18365,34269
9,4,6,hiddenPairs|nFish|nakedPairs|removeByElements,458,750
9,4,3,hiddenPairs|nFish|nakedPairs|removeByElements,3131,8024
9,4,2,hiddenPairs|nFish|nakedPairs|removeByElements,7429,26759
9,4,5,hiddenPairs|nFish|nakedPairs|removeByElements,852,1577
